Country,Year,Month,age,Value
Belgium,2010,01 ,TOTAL,2618.0
Belgium,2010,01 ,Y25-74,1968.0
Belgium,2010,01 ,Y_LT25,843.6999999999999
Belgium,2010,02 ,TOTAL,2606.7
Belgium,2010,02 ,Y25-74,1968.9999999999998
Belgium,2010,02 ,Y_LT25,843.6999999999999
Belgium,2010,03 ,TOTAL,2566.7
Belgium,2010,03 ,Y25-74,1951.3999999999999
Belgium,2010,03 ,Y_LT25,843.6999999999999
Belgium,2010,04 ,TOTAL,2517.6
Belgium,2010,04 ,Y25-74,1927.0
Belgium,2010,04 ,Y_LT25,752.1000000000001
Belgium,2010,05 ,TOTAL,2470.4
Belgium,2010,05 ,Y25-74,1913.9000000000003
Belgium,2010,05 ,Y_LT25,752.1000000000001
Belgium,2010,06 ,TOTAL,2487.9
Belgium,2010,06 ,Y25-74,1937.5999999999997
Belgium,2010,06 ,Y_LT25,752.1000000000001
Belgium,2010,07 ,TOTAL,2584.5
Belgium,2010,07 ,Y25-74,1993.5000000000002
Belgium,2010,07 ,Y_LT25,768.1
Belgium,2010,08 ,TOTAL,2570.8
Belgium,2010,08 ,Y25-74,1985.2
Belgium,2010,08 ,Y_LT25,768.1
Belgium,2010,09 ,TOTAL,2527.2
Belgium,2010,09 ,Y25-74,1947.2999999999997
Belgium,2010,09 ,Y_LT25,768.1
Belgium,2010,10 ,TOTAL,2461.0
Belgium,2010,10 ,Y25-74,1893.4
Belgium,2010,10 ,Y_LT25,734.5000000000001
Belgium,2010,11 ,TOTAL,2383.6
Belgium,2010,11 ,Y25-74,1827.1
Belgium,2010,11 ,Y_LT25,734.5000000000001
Belgium,2010,12 ,TOTAL,2312.8
Belgium,2010,12 ,Y25-74,1769.6000000000001
Belgium,2010,12 ,Y_LT25,734.5000000000001
Belgium,2011,01 ,TOTAL,2199.2
Belgium,2011,01 ,Y25-74,1681.4999999999998
Belgium,2011,01 ,Y_LT25,645.3
Belgium,2011,02 ,TOTAL,2105.8999999999996
Belgium,2011,02 ,Y25-74,1617.7000000000003
Belgium,2011,02 ,Y_LT25,645.3
Belgium,2011,03 ,TOTAL,2054.0
Belgium,2011,03 ,Y25-74,1591.6
Belgium,2011,03 ,Y_LT25,645.3
