Country,Year,Month,Value,Year_Month
Slovenia,2019,07 ,750.2,2019M07 
Slovenia,2019,08 ,757.4000000000001,2019M08 
Slovenia,2019,09 ,725.2999999999998,2019M09 
Slovenia,2019,10 ,680.7000000000002,2019M10 
Slovenia,2019,11 ,640.4000000000001,2019M11 
Slovenia,2019,12 ,625.1999999999999,2019M12 
Slovenia,2020,01 ,705.6,2020M01 
Slovenia,2020,02 ,706.1,2020M02 
Slovenia,2020,03 ,703.1,2020M03 
Slovenia,2020,04 ,775.9,2020M04 
Slovenia,2020,05 ,770.8,2020M05 
Slovenia,2020,06 ,773.2,2020M06 
Spain,2019,01 ,40047.50000000001,2019M01 
Spain,2019,02 ,40044.50000000001,2019M02 
Spain,2019,03 ,39987.0,2019M03 
Spain,2019,04 ,39743.49999999999,2019M04 
Spain,2019,05 ,39514.9,2019M05 
Spain,2019,06 ,39366.99999999999,2019M06 
Spain,2019,07 ,39507.200000000004,2019M07 
Spain,2019,08 ,39676.200000000004,2019M08 
Spain,2019,09 ,39368.70000000001,2019M09 
Spain,2019,10 ,39254.8,2019M10 
Spain,2019,11 ,38917.700000000004,2019M11 
Spain,2019,12 ,38595.100000000006,2019M12 
Spain,2020,01 ,39294.9,2020M01 
Spain,2020,02 ,38494.799999999996,2020M02 
Spain,2020,03 ,40755.99999999999,2020M03 
Spain,2020,04 ,41947.49999999999,2020M04 
Spain,2020,05 ,41000.200000000004,2020M05 
Spain,2020,06 ,40886.99999999999,2020M06 
Sweden,2019,01 ,4468.999999999999,2019M01 
Sweden,2019,02 ,4803.3,2019M02 
Sweden,2019,03 ,5085.9,2019M03 
Sweden,2019,04 ,4659.299999999999,2019M04 
Sweden,2019,05 ,4761.999999999999,2019M05 
Sweden,2019,06 ,4843.1,2019M06 
Sweden,2019,07 ,4902.9,2019M07 
Sweden,2019,08 ,4878.200000000002,2019M08 
Sweden,2019,09 ,4601.1,2019M09 
Sweden,2019,10 ,4597.4,2019M10 
Sweden,2019,11 ,4959.7,2019M11 
Sweden,2019,12 ,4613.3,2019M12 
Sweden,2020,01 ,5097.499999999999,2020M01 
Sweden,2020,02 ,5390.2,2020M02 
Sweden,2020,03 ,4929.9,2020M03 
Sweden,2020,04 ,5647.5999999999985,2020M04 
Sweden,2020,05 ,5994.599999999999,2020M05 
Sweden,2020,06 ,6727.999999999999,2020M06 
Switzerland,2019,01 ,2990.9999999999995,2019M01 
Switzerland,2019,02 ,2982.2,2019M02 
Switzerland,2019,03 ,2896.4,2019M03 
Switzerland,2019,04 ,2754.5999999999995,2019M04 
